Linea_id,Casa,Cantidad_asignada,Costo_asignado,Metodo,Confianza,Justificacion
23,Casa 2,1.0,1061.95,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
898,Casa 1,2.0,4840.7,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1073,Casa 1,1.5,2863.2749999999996,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1073,Casa 2,1.5,2863.2749999999996,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1259,Casa 3,1.0,3900.0,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
1320,Casa 3,0.5,1952.21,Reconstrucción analítica,Media,Balance receta + etapa + fecha
1320,Casa 4,0.5,1952.21,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1333,Casa 4,2.0,6893.8,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
2256,Casa 4,1.0,4214.16,Reconstrucción analítica,Media,Balance receta + etapa + fecha
24,Casa 4,1.0,398.23,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
25,Casa 4,1.0,265.49,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
29,Casa 4,1.0,1460.18,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
30,Casa 4,1.0,884.96,Reconstrucción analítica,Alta,Balance receta + etapa + fecha
92,Casa 1,2.0,6557.52,Reconstrucción analítica,Media,Balance receta + etapa + fecha
191,Casa 1,1.0,3672.57,Reconstrucción analítica,Media,Balance receta + etapa + fecha
631,Casa 1,1.0,3982.3,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
714,Casa 1,1.0,2845.13,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
722,Casa 1,1.0,5088.5,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
781,Casa 1,1.0,31848.67,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
783,Casa 1,2.0,8739.82,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
786,Casa 1,1.0,8060.18,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
866,Casa 1,1.0,3903.54,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
875,Casa 1,1.0,2330.09,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
880,Casa 1,1.0,3907.08,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
881,Casa 1,1.0,11592.92,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
882,Casa 1,1.0,341.59,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
908,Casa 1,1.0,11702.65,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
976,Casa 1,2.0,21258.4,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1149,Casa 1,1.0,3021.24,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
1186,Casa 1,1.0,10301.77,Reconstrucción analítica,Baja,Balance receta + etapa + fecha
