Material_homologado,Familia,Cantidad_base,Costo_base,Estado
CPVC 1/2 in x 6 m,Plomería agua caliente,61.5,51382.66,Reconstruido/observado
Cable THHN #10,Electricidad,60.0,30531.0,Reconstruido/observado
Cable THHN #2,Electricidad,7.5,25422.975000000002,Reconstruido/observado
Cable eléctrico,Electricidad,85.7,125781.49800000002,Reconstruido/observado
Caja eléctrica,Electricidad,0.75,7948.012500000001,Reconstruido/observado
Canaleta 16X10Mm,Otros insumos,0.25,309.2925,Reconstruido/observado
Candado / seguridad,Puertas y cerraduras,1.0,3974.633333333333,Pendiente proyectado desde Casas 1–3
Canoa / bajante PVC,Plomería pluvial,10.0,20469.04,Reconstruido/observado
Canoa alto caudal,Plomería pluvial,1.0,13236.28,Reconstruido/observado
Canto PVC mobiliario,Carpintería y mobiliario,529.0,125636.21333333332,Pendiente proyectado desde Casas 1–3
Cargador Portatil,Otros insumos,0.25,1537.61,Reconstruido/observado
Cargador Triple Ma,Otros insumos,0.25,2864.6025,Reconstruido/observado
Carpintería / herraje (genérico),Carpintería y mobiliario,36.666666666666664,33725.613333333335,Pendiente proyectado desde Casas 1–3
"Carro 3 8X6""",Otros insumos,0.25,64.16,Reconstruido/observado
Cedazo,Ferretería,0.25,1293.1425,Reconstruido/observado
Cemento Contaco 1/,Otros insumos,0.25,1204.8675,Reconstruido/observado
Cemento contacto,Adhesivos,2.25,4230.5375,Reconstruido/observado
Cemento gris 50 kg,Cemento y concretos,272.0,1565485.36,Reconstruido/observado
Centro de carga / breaker,Electricidad,3.5,151054.41999999998,Reconstruido/observado
Cepillo Acero 3/4,Otros insumos,0.25,538.0525,Reconstruido/observado
Cepillo Para Banos,Otros insumos,0.5,1117.255,Reconstruido/observado
Cerrajería,Puertas y cerraduras,36.333333333333336,120460.19,Pendiente proyectado desde Casas 1–3
Chocolate Choys Variado,Otros insumos,0.75,265.485,Reconstruido/observado
Chupon Plastico P/Be,Otros insumos,0.25,553.0975,Reconstruido/observado
Cielo suspendido / perfilería,Cielos,16.75,19386.5475,Reconstruido/observado
Cincel C-3/8X6 Truper,Otros insumos,0.25,263.275,Reconstruido/observado
Cinta eléctrica,Electricidad,2.25,4800.89,Reconstruido/observado
Cinta juntas gypsum/durock,Gypsum y liviano,1.25,5099.5625,Reconstruido/observado
Cinta masking,Pintura,7.25,24674.5625,Reconstruido/observado
Cinta teflón,Plomería,5.75,2879.67,Reconstruido/observado
Clavo,Ferretería,875.25,145732.57250000004,Reconstruido/observado
"Cobre 1/4"" Cab 8Aw",Otros insumos,0.25,30.9725,Reconstruido/observado
"Cobre 5/16"" Cab 6A",Otros insumos,0.25,34.2925,Reconstruido/observado
Coca Cola Ori 600M,Otros insumos,0.25,242.2575,Reconstruido/observado
Cocina Parche 50A,Otros insumos,0.25,561.0625,Reconstruido/observado
Codo sanitario,Plomería sanitaria,19.0,27465.489999999994,Reconstruido/observado
Cola Blanca Pnt,Otros insumos,0.25,675.0,Reconstruido/observado
Concreto Cenicero 4 Previstas,Otros insumos,0.25,1011.2225,Reconstruido/observado
Conduit / accesorio,Electricidad,59.25,29721.385000000002,Reconstruido/observado
Conduit 1/2 in,Electricidad,170.75,74209.77999999998,Reconstruido/observado
Conduit 2 in,Electricidad,8.0,5594.9400000000005,Reconstruido/observado
Conduit 3/4 in,Electricidad,34.75,26488.965000000004,Reconstruido/observado
Conduit eléctrico,Electricidad,70.25,77389.8725,Reconstruido/observado
Conector eléctrico,Electricidad,51.5,13968.325,Reconstruido/observado
Consumible / herramienta de obra,Ferretería,21.75,19090.010000000002,Reconstruido/observado
Cord Spt #14 Blanc,Otros insumos,0.75,287.3925,Reconstruido/observado
Cord Spt #16 Negro,Otros insumos,0.75,195.135,Reconstruido/observado
Cornisa PVC,Acabados,2.5,6862.825,Reconstruido/observado
Corte / mecanizado mobiliario,Carpintería y mobiliario,197.33333333333334,73824.36666666668,Pendiente proyectado desde Casas 1–3
